;Latitude;Longitude;QAPF
385;"61ø19'0.0""";"149ø11'0.0""";monzo granite
386;"62ø3'0.0""";"152ø55'0.0""";monzo granite
387;"45ø29'0.0""";"137ø3'0.0""";monzo granite
388;"62ø10'0.0""";"152ø5'0.0""";monzo granite
389;"52ø40'45.0""";"110ø57'15.0""";monzo granite
390;"69ø56'0.0""";"141ø25'0.0""";monzo granite
391;"61ø22'0.0""";"146ø12'0.0""";monzo granite
392;"64ø17'0.0""";"172ø40'0.0""";granodiorite
393;"51ø28'20.0""";"108ø40'0.0""";monzo granite
394;"53ø55'40.0""";"115ø42'50.0""";monzo granite
395;"61ø18'0.0""";"149ø12'0.0""";monzo granite
396;"53ø55'40.0""";"115ø32'30.0""";monzo granite
397;"62ø42'0.0""";"155ø42'0.0""";monzo granite
398;"66ø11'0.0""";"129ø33'0.0""";monzo granite
399;"45ø55'0.0""";"135ø30'0.0""";monzo granite
400;"69ø33'0.0""";"149ø22'0.0""";monzo granite
401;"61ø18'0.0""";"149ø10'0.0""";monzo granite
402;"52ø29'0.0""";"139ø50'0.0""";monzo granite
403;"47ø29'40.0""";"138ø53'4.0""";monzo granite
404;"50ø41'0.0""";"106ø4'30.0""";syeno granite
405;"50ø13'0.0""";"110ø6'0.0""";monzo granite
406;"52ø58'0.0""";"112ø42'40.0""";monzo granite
407;"69ø49'0.0""";"142ø14'0.0""";quartz-rich granitoid
408;"52ø25'10.0""";"116ø25'27.0""";monzo granite
409;"45ø40'10.0""";"134ø46'45.0""";monzo granite
410;"63ø54'0.0""";"146ø51'0.0""";monzo granite
411;"44ø36'20.0""";"135ø33'30.0""";monzo granite
412;"43ø38'51.0""";"133ø54'44.0""";monzo granite
413;"50ø41'0.0""";"113ø40'0.0""";monzo granite
414;"52ø51'20.0""";"117ø17'20.0""";monzo granite
415;"54ø36'0.0""";"122ø7'0.0""";monzo granite
416;"67ø4'0.0""";"158ø25'0.0""";monzo granite
417;"50ø0'0.0""";"111ø30'0.0""";monzo granite
418;"45ø51'29.0""";"134ø30'0.0""";monzo granite
419;"53ø54'50.0""";"115ø34'30.0""";monzo granite
420;"61ø21'0.0""";"148ø18'0.0""";monzo granite
421;"50ø12'0.0""";"110ø6'0.0""";monzo granite
422;"53ø56'10.0""";"115ø43'0.0""";monzo granite
423;"62ø11'0.0""";"139ø53'0.0""";monzo granite
424;"47ø13'40.0""";"137ø52'40.0""";monzo granite
425;"47ø0'8.0""";"137ø13'45.0""";monzo granite
426;"51ø4'0.0""";"113ø3'0.0""";monzo granite
427;"65ø34'24.0""";"179ø51'0.0""";monzo granite
428;"68ø8'0.0""";"136ø27'0.0""";monzo granite
429;"62ø5'0.0""";"164ø12'0.0""";granodiorite
430;"53ø50'30.0""";"117ø38'20.0""";monzo granite
431;"53ø30'50.0""";"116ø48'20.0""";monzo granite
432;"59ø52'0.0""";"139ø9'0.0""";monzo granite
433;"62ø11'0.0""";"139ø53'0.0""";monzo granite
434;"51ø40'0.0""";"113ø16'0.0""";monzo granite
435;"49ø37'42.0""";"107ø33'18.0""";monzo granite
436;"50ø11'30.0""";"107ø25'20.0""";monzo granite
437;"43ø56'0.0""";"135ø25'0.0""";monzo granite
438;"51ø30'0.0""";"113ø21'0.0""";monzo granite
439;"53ø14'30.0""";"111ø57'50.0""";monzo granite
440;"66ø16'0.0""";"139ø47'0.0""";monzo granite
441;"62ø20'0.0""";"148ø1'0.0""";monzo granite
442;"53ø49'0.0""";"140ø1'0.0""";monzo granite
443;"52ø56'40.0""";"114ø5'0.0""";monzo granite
444;"51ø24'0.0""";"113ø20'0.0""";monzo granite
445;"62ø37'0.0""";"155ø38'0.0""";monzo granite
446;"69ø48'0.0""";"171ø29'0.0""";monzo granite
447;"52ø47'0.0""";"110ø13'30.0""";monzo granite
448;"63ø4'0.0""";"139ø11'0.0""";monzo granite
449;"63ø2'0.0""";"155ø21'0.0""";monzo granite
450;"47ø36'0.0""";"109ø23'30.0""";monzo granite
451;"61ø21'0.0""";"149ø13'0.0""";monzo granite
452;"44ø50'0.0""";"136ø0'0.0""";monzo granite
453;"69ø16'0.0""";"171ø25'0.0""";monzo granite
454;"61ø18'0.0""";"149ø20'0.0""";monzo granite
455;"51ø28'20.0""";"108ø40'0.0""";monzo granite
456;"51ø17'0.0""";"112ø7'0.0""";monzo granite
457;"61ø7'0.0""";"148ø30'0.0""";monzo granite
458;"53ø57'0.0""";"115ø42'0.0""";monzo granite
459;"46ø45'0.0""";"111ø47'30.0""";monzo granite
460;"52ø10'10.0""";"110ø22'30.0""";monzo granite
461;"54ø36'0.0""";"133ø28'0.0""";monzo granite
462;"64ø57'0.0""";"140ø7'0.0""";monzo granite
