;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
3936;63;29;55;167;1;30;"63ø29'55.0""";"167ø1'30.0""";;Granodiorite;K;;;;S.S.Lobunetz,1972
3937;46;48;;134;16;;"46ø48'0.0""";"134ø16'0.0""";;Granodiorite;K;;B.M.Frenkel';;Z.V.Sidorenko,1952
3938;44;28;35;134;45;50;"44ø28'35.0""";"134ø45'50.0""";;Granosyenite;Pg;Berezovsky massif;;;V.I.Vysotsky,1965
3939;67;41;;179;14;;"67ø41'0.0""";"179ø14'0.0""";;Granite;K;Chanuan massif;;Det.:H2o+-0.83;A.G.Maltizov,1959
3940;60;25;;147;12;;"60ø25'0.0""";"147ø12'0.0""";;Quartz diorite;K;Pirat massif;;;Yu.I.Korshikov,1966
3941;45;31;35;135;30;25;"45ø31'35.0""";"135ø30'25.0""";;Granodiorite;K;Yamutinzin massif;;;N.K.Flyaga,1962
3942;64;29;;143;30;;"64ø29'0.0""";"143ø30'0.0""";;Granodiorite;K;Nel'kan massif;S.M.Shadskaya;;K.N.Rudich,1956
3943;69;50;;142;20;;"69ø50'0.0""";"142ø20'0.0""";;Quartz syenodiorite;K;Upper-Kuranakh Nyulku massif;G.S.Chugunov;;V.V.Boyarshinov,1969
3944;68;50;;172;42;;"68ø50'0.0""";"172ø42'0.0""";;Granite;K;Yanra-Karpung massif;;Det.:H2o+-0.70;I.I.Akramovsky,1960
3945;66;24;;138;32;;"66ø24'0.0""";"138ø32'0.0""";;Granodiorite-porphyry;K;Khangas massif;A.V.Skri pina;Oth:S03-0.62;A.N.Vishnevsky,1973
3946;50;56;;113;17;;"50ø56'0.0""";"113ø17'0.0""";;Hb-Bt granosyenite;J;;V.Ant ipin;;A.I.Shevtsov,1967
3947;53;21;45;119;6;;"53ø21'45.0""";"119ø6'0.0""";;Granodiorite;Tr;;;;E.M.Leyfman,1967
3948;65;13;;175;11;;"65ø13'0.0""";"175ø11'0.0""WW";W;Bt-Hb granite;K;Il'in-Emneken massif;;Oth.:C02-0.39;V.N.Stavitsky,1959
3949;48;11;35;137;55;50;"48ø11'35.0""";"137ø55'50.0""";;Granodiorite;Pg;;S.Ya.Matytsin;Oth:S03-0.0l;V.A.Yarmolyuk,1949
