;Latitude;Longitude;time;area;0
3296;"67ø49'0.0""";"177ø0'48.0""";K;4;0
3297;"58ø44'0.0""";"141ø5'0.0""";K;3;0
3298;"70ø20'0.0""";"136ø30'0.0""";K;3;0
3299;"50ø5'0.0""";"110ø58'0.0""";J;1;0
3300;"63ø40'56.0""";"166ø40'20.0""";K;4;0
3301;"64ø20'22.0""";"167ø0'45.0""";K;4;0
3302;"52ø26'30.0""";"115ø21'50.0""";Tr;1;0
3303;"53ø15'0.0""";"117ø9'0.0""";J;1;0
3305;"63ø27'0.0""";"141ø53'0.0""";K;3;0
3306;"51ø6'0.0""";"112ø34'0.0""";J;1;0
3307;"47ø11'35.0""";"137ø20'30.0""";K;2;0
3308;"60ø41'0.0""";"149ø41'0.0""";K;3;0
3309;"64ø21'0.0""";"141ø39'0.0""";K;3;0
3311;"44ø31'30.0""";"135ø37'30.0""";K;2;0
3312;"55ø6'25.0""";"118ø6'40.0""";Tr;1;0
3313;"61ø56'0.0""";"140ø17'0.0""";K;3;0
3314;"54ø55'20.0""";"119ø49'0.0""";Tr;1;1
3315;"44ø18'10.0""";"135ø43'7.0""";Pg;2;0
3316;"69ø30'0.0""";"149ø41'0.0""";K;3;1
3317;"49ø30'0.0""";"113ø26'0.0""";Tr;1;1
3318;"46ø55'35.0""";"137ø8'5.0""";K;2;0
3319;"69ø2'0.0""";"178ø25'0.0""";K;4;1
