143- (49°12' ,137°29')|.Granite|.Tr3|.S.M.Kireeva|.Det.:co2-0.04|(V.A.Dymovich,1976). 
144- (46°45' ,111°47'30")|.Granite|.J2|(A.D.Kalenov). 
145- (52°29' ,134°13')|.Granite-porphyry|.K2|(E.P.Khokhlov,1964). 
146- (50°43' ,113°45')|.Two mica granite pegmatoid|.J3|.Sakhanay massif|.O.S.Beloborod'ko|(N.N.Chaban,1967). 
147- (52°56'50",114°05')|.Aplite|.J2_3|.Yakhakta massif|(A.A.Matlashov,1969). 
148- (48°06'30",114°27'30")|.Granite leucocratic miarolitic|.J3|(Yu.A.Borzakovsky,1967). 
149- (45°52'20",135°22'35")|.Hb granite|.K2|.Sinanchin massif|(I.A.Gaev,1960). 
150- (71°45' ,140°53') |~Alaskite|.K1|.Maxunuokha-Tas massif|.T.M.Sablina|.Det.:co2-0.23|(S.M.Prokhorova,1968). 
151- (50°07' ,110°07')|.Granite leucocratic porphyraceous|.J2|.S.V.Potapova|(Zh.N.Rudakova,1967) . 
152- (47°27'48",138°23'24")|.Granite||.Pg 1|.Vayga massif|(F.G.Fedchin,1973). 
153- (51°45'40",107°32')|.Granite||.Tr|.Oth.:S03-0.07|(D.V|.Trunev,1961). 
154- (53°56'10",115°43')|.Granite morionic|.Tr-J|.Kontalak massif|.N.A.Lebedeva|(V.S.Ivanov,1968). 
155- (50°23' ,110°44')|.Granite leucocratic|.J2|.E.G.lvanova|(L.A.Kozubova,1957). 
156- (67°59' ,177°32')|.Bt granite leucocratic coarse-grained|.K1|.Katum massif|.Zhelunitskaya|.Det.:H2o+-o.so|(V.I.Noskov,1960). 
157- (48°54' ,138°59')|.Bt granite|.Pg 1|.Yoliy intrusion|(A.V|.Palagin,1965). 
158- (69°18' ,143°05')|.Granite porphyraceous fine-grained||.K1|.Makhastyr Kuobakh massif|.L.F.Ushakova|{V.K.Dorofeev,1971). 
159- (62°32' ,155°49')|.Granite porphyraceous coarse|-grained|.K2|.Left-Omsukchan massif|(N.N.Stulov,1945). 
160- (45°49'20",135°20'40")|.Bt-Hb granite|.K2|.Chimchiguz Sinanchin massif|(I|.A.Gaev,1960). 
161- (47°49'13" |,138°08'10")|.Granite alkaline porphyraceous|.K2|.Koin massif||.Det.:H2o+-0|.78|(A.V.Oleynikov,1972). 
162- (45°36'27",134°51'30")|.Granite porphyraceous|.K2|.Dintsukhin massif|(V.I.Safronov,1966). 
163- (49°23' ,139°33')|.Granite-porphyry|.Pg1|.Mikin massif|(G.M.Levitan,1965). 
164- (64°32' ,146°32')|.Granite-porphyry|.K1|.Chuguluk massif|(I.A.Timofeev,1960). 
165- (48°12' ,137°19')|.Granite coarse-grained|.K2||~S.Ya.Matytsin||.Det.:H2o+-0||.17|(V.A.Yarmolyuk,1942).  
166- (45°32'53",136°56'35")|.Granite|.K2|.I.M.Lalykina|(A.I.Burde,1964). 
167- (62°17' ,148°47')|.Mu aplite|.J3|.Little Annachag massif|(P.G.Verbitsky,1941). 
168- (52°10'10",115°00'50")|.Granite subalkaline||.Tr3-J1|.N.A.Ogneva|(S.K.Ushakov,1962). 
169- (50°27' ,133°25')|.Bt granite porphyraceous|.K2|(V.E.Proskurnikov,1958) , 
170- (52°13' ,134°21')|.Granite fine-grained|.K2|.K.G.Slovetskaya|(E.P.Khokhlov,1964) . 
171- (45°39' ,134°48'30")|.Bt granite|.K2|.Dintsukhin massif|(V.I||~Safronov,1966) . 
